latitude,longitude,area_name,city_name,population,hospitals,schools,clinics,toilets,category,needed_schools,needed_toilets,school_priority,toilet_priority
28.758066,77.130328,Siraspur,North Delhi,8303.791,41,117,42,49,Developed,0,117,1,1
13.037888,80.279155,Zone 9 Teynampet,Chennai,18868.496,202,157,102,50,Developed,0,327,1,2
22.590499,88.366312,Shobha Bazar East,Kolkata,23422.207,109,60,64,23,Semi-Developed,0,445,1,3
26.902403,80.94672,Aliganj,Lucknow,10376.158,80,33,22,4,Semi-Developed,0,203,1,1
21.179223,79.033571,Area Code: 440013,Nagpur,11014.753,114,16,35,8,Semi-Developed,11,212,1,1
23.072043,72.658451,Naroda,Ahmedabad,45223.26,71,1,8,3,Slum,112,901,8,8
23.253647,77.470233,Chhatrasal Nagar,Bhopal,12399.471,102,33,7,16,Semi-Developed,0,231,1,2
17.458996,78.46828,Rasoolpura,Hyderabad,14828.626,229,98,100,13,Developed,0,283,1,2
22.591292,88.366651,Shobha Bazar East,Kolkata,33582.582,109,60,65,23,Semi-Developed,23,648,1,5
17.449295,78.476217,Rasoolpura,Hyderabad,17896.2,260,114,105,19,Developed,0,338,1,2
26.908698,80.95055,Aliganj,Lucknow,5400.186,68,31,22,2,Developed,0,106,1,1
26.90696,80.960471,Vikas Nagar,Lucknow,10557.068,69,34,23,2,Semi-Developed,0,209,1,1
21.16932,79.04729,Seminary Hills,Nagpur,19397.053,195,26,55,12,Semi-Developed,22,375,1,3
21.177746,79.032233,Area Code: 440013,Nagpur,11014.753,134,15,36,9,Semi-Developed,12,211,1,1
23.039991,72.665934,Area Code: 382350,Ahmedabad,17355.072,88,1,12,3,Slum,42,344,3,3
23.038941,72.668545,Area Code: 382350,Ahmedabad,17355.072,84,1,11,3,Slum,42,344,3,3
23.073044,72.657454,Naroda,Ahmedabad,45223.26,71,1,8,3,Slum,112,901,8,8
17.580458,78.47596,Area Code: 500014,Medchal?alkajgiri,1301.1564,7,17,10,6,Developed,0,20,1,1
23.062629,72.650064,Naroda,Ahmedabad,42900.715,95,1,10,3,Slum,106,855,8,7
25.593752,85.124505,Area Code: 800001,Patna,40196.1,128,41,67,15,Slum,59,788,3,7
12.989353,77.609839,Shivajinagar,Bengaluru,53153.22,274,355,273,167,Developed,0,896,1,6
13.022368,77.590255,Ganga Nagar,Bengaluru,44792.355,211,224,186,158,Semi-Developed,0,737,1,5
25.598266,85.148603,Rajendra Nagar,Patna,45659.77,137,43,65,15,Slum,71,898,4,8
19.026384,72.872233,F/N Ward,Mumbai,45036.688,207,167,95,25,Semi-Developed,0,875,1,7
19.047133,72.858267,G/N Ward,Mumbai,49919.16,257,173,116,28,Semi-Developed,0,970,1,8
22.5379,88.318277,Kidderpore,Kolkata,47806.13,112,57,59,31,Slum,62,925,3,8
22.706641,75.845903,Area Code: 452001,Indore,26445.043,255,171,592,250,Developed,0,278,1,1
23.244687,77.427979,Area Code: 462001,Bhopal,11571.106,194,36,8,18,Developed,0,213,1,2
26.903568,80.960253,Vikas Nagar,Lucknow,10557.068,73,36,23,3,Semi-Developed,0,208,1,1
28.840658,77.100696,Sector A-10,North Delhi,7589.936,16,5,14,1,Slum,13,150,1,1
17.500565,78.524061,Area Code: 500094,Medchal?alkajgiri,6430.5825,88,41,27,3,Developed,0,125,1,1
26.904037,80.947085,Aliganj,Lucknow,10376.158,74,31,21,3,Semi-Developed,0,204,1,1
26.908431,80.952297,Aliganj,Lucknow,5400.186,68,32,23,2,Developed,0,106,1,1
26.911726,80.956983,Aliganj,Lucknow,5400.186,62,32,23,2,Developed,0,106,1,1
26.900647,75.807447,Adarsh Nagar,Jaipur,13983.79,202,31,143,33,Developed,3,246,1,2
23.058574,72.647976,Naroda,Ahmedabad,44351.883,100,1,11,3,Slum,109,884,8,8
23.22968,77.469898,Awadhpuri,Bhopal,5941.889,122,34,8,16,Developed,0,102,1,1
