Latitude,Longitude,Area Name,City Name,Population,Category,Disease Outbreak Risk (%),Malnutrition Rate (%),Sanitation Score (0-10),Waterborne Disease Risk (%)
28.758066,77.130328,Siraspur,North Delhi,8303,Developed,71.96,37.18,3.01,50.88
13.037888,80.279155,Zone 9 Teynampet,Chennai,18868,Developed,66.49,35.93,3.46,56.42
22.590499,88.366312,Shobha Bazar East,Kolkata,23422,Semi-Developed,49.74,10.31,6.86,52.92
26.902403,80.94672,Aliganj,Lucknow,10376,Semi-Developed,66.01,49.66,1.01,65.04
21.179223,79.033571,Area Code: 440013,Nagpur,11014,Semi-Developed,87.49,30.3,0.28,84.56
23.072043,72.658451,Naroda,Ahmedabad,45223,Slum,35.78,17.78,4.76,37.63
23.253647,77.470233,Chhatrasal Nagar,Bhopal,12399,Semi-Developed,93.01,39.19,0.24,91.12
17.458996,78.46828,Rasoolpura,Hyderabad,14828,Developed,67.94,45.83,0.47,52.69
22.591292,88.366651,Shobha Bazar East,Kolkata,33582,Semi-Developed,28.63,10.69,5.74,69.9
17.449295,78.476217,Rasoolpura,Hyderabad,17896,Developed,77.8,38.6,0.29,55.45
26.908698,80.95055,Aliganj,Lucknow,5400,Developed,81.28,45.41,3.99,63.52
26.90696,80.960471,Vikas Nagar,Lucknow,10557,Semi-Developed,66.01,49.66,1.01,65.04
21.16932,79.04729,Seminary Hills,Nagpur,19397,Semi-Developed,49.74,10.31,6.86,52.92
21.177746,79.032233,Area Code: 440013,Nagpur,11014,Semi-Developed,66.01,49.66,1.01,65.04
23.039991,72.665934,Area Code: 382350,Ahmedabad,17355,Slum,77.8,38.6,0.29,55.45
23.038941,72.668545,Area Code: 382350,Ahmedabad,17355,Slum,77.8,38.6,0.29,55.45
23.073044,72.657454,Naroda,Ahmedabad,45223,Slum,35.78,17.78,4.76,37.63
17.580458,78.47596,Area Code: 500014,Medchal?alkajgiri,1301,Developed,71.96,37.18,3.01,50.88
23.062629,72.650064,Naroda,Ahmedabad,42900,Slum,35.78,17.78,4.76,37.63
