area_name,city_name,category,population,disease_outbreak_risk (%),malnutrition_rate (%),sanitation_score (0-10),waterborne_disease_risk (%),health_risk_category
Area 1,City 1,Semi-Developed,37538.62,35.1,28.48,6.82,41.27,Medium Risk
Area 2,City 2,Semi-Developed,40232.93,22.6,21.0,6.76,37.5,Medium Risk
Area 3,City 3,Developed,118798.31,0.26,8.07,8.52,18.5,Low Risk
Area 4,City 4,Semi-Developed,43112.32,21.68,21.61,6.8,33.01,Medium Risk
Area 5,City 5,Slum,17733.63,77.8,38.6,0.29,55.45,High Risk
Area 6,City 6,Slum,18448.48,88.5,40.25,0.87,90.82,High Risk
Area 7,City 7,Developed,74481.7,18.45,9.29,7.08,27.02,Low Risk
Area 8,City 8,Semi-Developed,36148.16,27.47,11.77,6.98,36.53,Medium Risk
Area 9,City 9,Semi-Developed,22724.51,36.72,23.96,6.01,35.31,Medium Risk
Area 10,City 10,Developed,73882.89,12.86,9.22,9.32,11.72,Low Risk
Area 11,City 11,Slum,15723.39,87.49,30.3,0.28,84.56,High Risk
Area 12,City 12,Slum,18092.48,93.01,39.19,0.24,91.12,High Risk
Area 13,City 13,Semi-Developed,31259.99,28.45,27.66,6.78,36.03,Medium Risk
Area 14,City 14,Developed,73331.2,0.97,7.24,7.85,12.64,Low Risk
Area 15,City 15,Developed,70288.84,12.81,9.63,8.28,14.1,Low Risk
Area 16,City 16,Slum,15590.48,60.87,41.71,1.26,72.63,High Risk
Area 17,City 17,Developed,65493.89,5.09,0.63,7.04,23.69,Low Risk
Area 18,City 18,Developed,76440.12,3.57,4.11,8.85,2.85,Low Risk
Area 19,City 19,Semi-Developed,49582.69,21.88,28.72,4.43,53.9,Medium Risk
Area 20,City 20,Slum,7490.91,71.2,30.85,0.93,54.21,High Risk
Area 21,City 21,Slum,6373.63,69.69,46.92,2.05,85.95,High Risk
Area 22,City 22,Developed,129412.7,0.87,3.34,9.71,10.67,Low Risk
Area 23,City 23,Slum,17923.97,64.2,37.98,1.11,91.59,High Risk
Area 24,City 24,Developed,148754.77,19.82,6.26,7.92,5.17,Low Risk
Area 25,City 25,Semi-Developed,24941.48,49.74,10.31,6.86,52.92,Medium Risk
Area 26,City 26,Developed,119782.42,19.51,0.83,9.12,26.92,Low Risk
Area 27,City 27,Developed,55759.07,17.5,9.32,7.91,20.13,Low Risk
Area 28,City 28,Slum,17734.18,78.19,40.21,3.09,85.4,High Risk
Area 29,City 29,Semi-Developed,37397.29,43.34,28.74,6.6,53.43,Medium Risk
Area 30,City 30,Slum,16328.85,51.62,32.86,0.34,93.62,High Risk
Area 31,City 31,Developed,115829.46,19.82,4.26,9.26,22.34,Low Risk
Area 32,City 32,Slum,18617.41,76.77,46.87,1.13,60.24,High Risk
Area 33,City 33,Semi-Developed,44084.96,35.78,17.78,4.76,37.63,Medium Risk
Area 34,City 34,Developed,81580.75,5.42,5.75,9.55,1.93,Low Risk
Area 35,City 35,Slum,5173.75,81.28,45.41,3.99,63.52,High Risk
Area 36,City 36,Semi-Developed,37632.15,29.79,15.85,4.51,64.56,Medium Risk
Area 37,City 37,Semi-Developed,48467.1,35.87,25.96,5.45,47.81,Medium Risk
Area 38,City 38,Slum,5572.61,94.09,45.14,1.01,55.84,High Risk
Area 39,City 39,Developed,120241.06,1.73,6.66,9.1,22.46,Low Risk
Area 40,City 40,Slum,10221.67,66.01,49.66,1.01,65.04,High Risk
Area 41,City 41,Semi-Developed,40421.79,28.44,24.8,4.89,40.29,Medium Risk
Area 42,City 42,Semi-Developed,28398.61,26.26,10.58,5.91,55.63,Medium Risk
Area 43,City 43,Semi-Developed,23183.81,45.81,15.26,6.25,67.16,Medium Risk
Area 44,City 44,Developed,63816.55,16.14,4.73,7.79,25.78,Low Risk
