Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
1995,"Siraspur, North Delhi",1.52,1.94,3.16,17.52,3.56
1996,"Siraspur, North Delhi",1.24,2.7,4.62,13.41,1.54
1997,"Siraspur, North Delhi",1.45,1.6,2.06,27.77,1.91
1998,"Siraspur, North Delhi",1.89,2.43,4.29,14.03,1.94
1999,"Siraspur, North Delhi",1.28,1.34,2.92,16.43,1.64
2000,"Siraspur, North Delhi",0.81,2.58,2.5,10.57,3.52
2001,"Siraspur, North Delhi",1.96,1.66,2.36,21.41,4.63
2002,"Siraspur, North Delhi",1.68,2.25,2.95,20.84,1.36
2003,"Siraspur, North Delhi",1.52,2.45,4.9,15.21,1.07
2004,"Siraspur, North Delhi",1.32,2.41,4.37,13.87,2.05
2005,"Siraspur, North Delhi",1.27,1.66,4.58,19.48,4.2
2006,"Siraspur, North Delhi",1.37,2.55,3,26.63,2.1
2007,"Siraspur, North Delhi",1.32,1.43,3.43,16.36,2.07
2008,"Siraspur, North Delhi",1.95,1.32,4.36,29.68,1.08
2009,"Siraspur, North Delhi",1.55,1.51,2.12,18.06,4.74
2010,"Siraspur, North Delhi",0.52,2.18,3.5,27.47,1.34
2011,"Siraspur, North Delhi",1.52,2.36,4.01,28.85,4.29
2012,"Siraspur, North Delhi",0.56,1.94,3.19,16.2,2.81
2013,"Siraspur, North Delhi",1.08,1.86,4.94,11.77,4.69
2014,"Siraspur, North Delhi",1.22,2.25,4.49,17.21,2.72
2015,"Siraspur, North Delhi",1.11,1.75,4.78,26.58,1.44
2016,"Siraspur, North Delhi",0.66,1.86,2.3,22.38,1.57
2017,"Siraspur, North Delhi",1.28,1.01,2.95,23.54,2.94
2018,"Siraspur, North Delhi",1.97,2.75,3.08,10.91,4.38
2019,"Siraspur, North Delhi",1.87,2.64,2.38,29.96,2.03
2020,"Siraspur, North Delhi",1.59,2.82,2.71,28.17,2.24
2021,"Siraspur, North Delhi",1.96,1.56,4.86,11.07,3.84
2022,"Siraspur, North Delhi",1.3,1.96,2.67,24.11,1.76
